,IDX,CQQQ,ASHX,AFTY,QLD,FTXN,PDBC,NANR,GLD
2021/7/1,-0.008310194,-0.142636525,-0.061473517,-0.131148206,0.055563363,-0.10180624,0.013937332,-0.029495122,0.025297361
2021/8/1,0.037988827,-0.017038412,0.009579506,-0.016103429,0.083905023,-0.007312553,-0.016691212,-0.036484754,-0.000765546
2021/9/1,0.017761033,-0.072998874,0.007262015,0.044807082,-0.114289271,0.167587405,0.050923512,0.023907454,-0.032235258
2021/10/1,0.086197832,0.037549423,0.024519571,0.031716867,0.161742538,0.097791746,0.051306416,0.101431002,0.014797181
2021/11/1,-0.030185052,-0.035750945,-0.002688674,-0.024462345,0.03631417,-0.080938605,-0.084048761,-0.031821291,-0.006900654
2021/12/1,-0.003514056,-0.05591851,0.004160426,0.003026373,0.016094007,0.013027618,-0.306364085,0.036163277,0.032990979
2022/1/1,0.000503829,-0.046032528,-0.080212131,-0.055268154,-0.171983807,0.132715991,0.078236131,0.07498303,-0.016787616
2022/2/1,0.036253724,-0.05736462,0.020540541,0.003650005,-0.095509444,0.082198002,0.067282322,0.113717985,0.06121726
2022/3/1,0.029154519,-0.159656312,-0.09879947,-0.083644813,0.078746065,0.111624003,0.090234796,0.101157736,0.01272558
2022/4/1,0.043909396,-0.080085238,-0.097641176,-0.063499063,-0.260289176,-0.033597584,0.057256296,-0.03653909,-0.020702962
2022/5/1,-0.029398551,0.071081247,0.03417273,0.015008888,-0.047556446,0.16171875,0.046112601,0.060286187,-0.032615482
2022/6/1,-0.082478941,0.090791206,0.10278373,0.111742528,-0.182751103,-0.212508406,-0.075345925,-0.169563,-0.015659647
2022/7/1,0.008125901,-0.106817263,-0.065296024,-0.088566655,0.256218305,0.121263877,-0.023281595,0.027834193,-0.02588152
2022/8/1,0.031234207,-0.012203239,-0.044969452,-0.038342678,-0.108612092,0.050266565,-0.014188421,0.013441392,-0.029433284
2022/9/1,-0.05471417,-0.183962219,-0.091529476,-0.077303078,-0.209402614,-0.109862255,-0.068508977,-0.069826429,-0.02888181
2022/10/1,-0.008268682,-0.120286341,-0.094225357,-0.151241535,0.066012057,0.224439928,0.050679852,0.14489409,-0.017844404
2022/11/1,-0.007816571,0.286295441,0.153786407,0.183890578,0.097748204,-0.004324651,0.012941118,0.059707017,0.08491866
2022/12/1,-0.088235289,0.055704231,-0.020035984,0.01758665,-0.183216798,-0.065820281,-0.141695653,-0.062910472,0.029306481
,,,,,,,,,
